Canonical_Smiles,Inhibition 1,Inhibition 2,Inhibition 3
O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,4.1822,17.9674,14.2542
c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,15.992,11.6671,10.3367
Cc1c(N)cccc1Cl,2.8956,1.3708,5.1985
CCC(C)Nc1ccc(NC(C)CC)cc1,48.3239,31.3724,46.0755
c1ccc2c(c1)CCNC2,3.3706,2.8926,1.1858
Nc1ccc(-c2ccccc2)cc1,44.6443,25.7593,25.127
C=CCOCC1CO1,17.2182,9.3752,12.7401
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O.Cl,86.2847,71.5794,77.4267
CC(C)(O)CCCC1=CCC(C=O)CC1,7.1515,3.567,2.6995
CCCCCCCCS(=O)C(C)Cc1ccc2c(c1)OCO2,67.6409,27.064,12.0795
CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21.Cl.Cl,5.3196,3.7689,3.7663
CCN(CC)C(=S)[S-].[Na+],5.631,2.4559,5.2479
NC(=O)c1ccccc1N,3.8693,2.8386,3.6538
CC(O)(P(=O)(O)O)P(=O)(O)O,2.6861,0.5969,0.9903
CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],24.6914,6.6921,0.5807
CCOC(=O)CC#N,4.6849,2.7745,9.4298
C=C(C)CC(C)(C)C,0.2389,0.0574,0.3148
CCCCN=C=O,4.5484,2.5415,1.6458
CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],10.4378,1.6365,3.0919
CO[Si](C)(OC)OC,55.2744,39.3448,43.889
SC1CCCCC1,1.3184,1.4391,3.4247
Cc1cccc(N)c1N,63.3182,29.5048,30.6446
C1=CCC2CC=CC2C1,7.8694,1.0444,5.6138
CC/C(C)=N\O[Si](C)(O/N=C(\C)CC)O/N=C(\C)CC,39.0778,30.0156,38.7428
CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,61.2857,41.7577,39.8751
