,Canonical_Smiles,Inhibition
474,CCN(C(=O)c1ccc2c(c1)N(C1CC1)C(C)C(=O)N2C)c1ccc(C)cc1,25.0
486,Fc1ccc2[nH]c(CNc3nc(N4CCOCC4)nc4c3ncn4-c3cccnc3)nc2c1F,86.0
489,Cc1ncccc1C(=O)N([C@@H]1CCc2c(F)cc(Cl)cc21)[C@@H](C(N)=O)c1ccccc1,17.0
500,Fc1cccc(-n2cnc3c(NCc4nc5c(F)c(F)ccc5[nH]4)nc(N4CCOCC4)nc32)c1,37.0
506,CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1ccc(Cn2cnc(C(F)(F)F)c2)cc1,71.0
515,COc1cccc2c1C(=O)c1oc3c(c1C2=O)c(=O)oc1ccccc13,38.48
518,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cc3)nc2n2cc(C(C)(C)C)nc12,18.0
521,CC(=O)Nc1cccc(Nc2ncc3cc(-c4cn[nH]c4)ccc3n2)c1,88.0
522,Clc1ccc(CNc2nc(-c3ccncc3)n[nH]2)cc1,96.0
523,CCCOc1c(-c2csc3ccccc23)oc2ccc(OC)cc2c1=O,48.16
524,COc1ccc2oc(-c3ccco3)c(O)c(=O)c2c1,14.11
525,COc1ccc2oc(-c3cccc(-c4ccc5c(c4)OCO5)c3)c(O)c(=O)c2c1,44.64
526,COc1ccc2oc(-c3c[nH]c4ccccc34)c(O)c(=O)c2c1,10.96
531,O=C(O)CC[C@H]1CN(S(=O)(=O)c2cccc(C(F)(F)F)c2)c2cc(/C=C/c3c(Cl)cccc3C(F)(F)F)ccc2O1,8.0
537,CN(C)CCNCC(=O)Nc1cc(CSc2ncccc2C(=O)Nc2ccc(OC(F)(F)F)cc2)ccn1,29.0
540,C[C@@H]1CN(C(=O)c2nc(Nc3cc(C4CC4)[nH]n3)c3cc(Cl)ccc3n2)CCN1.Cl,2.3
541,COc1ccc2cc(-c3ccc(F)cc3)ccc2c1Cn1ccnc1,95.0
547,O=C1Cc2ccccc2C2(CCN(C(=O)Nc3cnc(-c4ccccc4)cn3)CC2)O1,46.0
551,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccc(Cl)o1,69.0
552,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1cc(OC(F)(F)F)ccc1O,39.0
567,CCC(c1ccc(-c2ccc(O)c(C)c2)cc1)n1ccnc1,98.0
568,Cc1cc(C(=O)O)nc(N2CCC(COc3ccccc3C(F)(F)F)C2)n1,2.2
573,CN1CCCC1CCOc1ccc(/C(=C(/CCCO)c2ccccc2)c2ccc(O)cc2)cc1.Cl,16.3
574,Cn1c(Nc2c(F)cccc2Cl)nc2cc(C(=O)Nc3cccc(C(F)(F)F)c3)c3c(c21)CC(C)(C)O3,8.0
579,CC(C)N1CCC(c2ccc(/C(=C(/CCCO)c3ccc(F)cc3F)c3ccc(O)cc3)cc2)CC1.Cl,16.1
580,COCCCn1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)c2c(Br)cccc21,63.0
584,Cc1nc2c(cnn2-c2csc(C(=O)NC3COC3)c2)cc1Nc1c(F)cccc1Cl,71.0
585,Cc1nsc(NS(=O)(=O)c2cc(F)c(OC[C@@H]3CNCC[C@H]3c3ccc(Cl)cc3)cc2F)n1,61.0
591,Cc1cn2c(N3CCN(C(=O)CCS(=O)(=O)c4ccc5cc(Cl)ccc5c4)CC3)cccc2n1,58.0
592,Nn1nnc2ccccc21,9.6
593,CNc1cc(C)nc(Nc2ccc(OC)c(C3=CCNCCC3)c2)n1,0.0
594,CC(C)N1CCN(c2ccc(/C(=C(/CCCO)c3ccccc3)c3cccc(O)c3)cc2)CC1.Cl.Cl,53.3
597,Cc1cc(-c2nc3cccnn3c2-c2ccnc(NC(=O)c3cccnc3)c2)ccc1F,61.0
600,CCCCC(=O)Oc1c(-c2csc3ccccc23)oc2ccc(OC)cc2c1=O,61.81
601,Cc1cc(C)cc(NC(=O)c2cccnc2SCc2ccnc(NC(=O)CNCCN(C)C)c2)c1,14.0
602,Cc1cc(C)cc(NC(=O)c2cccnc2SCc2cc[n+]([O-])cc2)c1,16.0
603,CC(=O)Nc1cc(CSc2ncccc2C(=O)Nc2ccc(OC(F)(F)F)cc2)ccn1,38.0
604,COc1cccc(/C=C/C(=O)c2cc(OC)c(OC)cc2O)c1,12.4
605,COc1ccc(C(=O)/C=C/c2c(OC)cccc2OC)c(O)c1,11.8
606,Cc1cc(C)cc(NC(=O)c2cccnc2SCc2ccncc2)c1,96.0
614,Cc1cc(F)cc([C@H](Cn2c(=O)c(N3CCN(Cc4ccc(C(F)(F)F)o4)CC3)c(C)n(Cc3c(F)cccc3F)c2=O)NCCCC(=O)O)c1,30.0
615,COc1cc(-c2nc3ccccc3c(=O)[nH]2)ccc1OCc1ccc(F)cc1F,4.1
616,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccc(Cl)o1,75.0
617,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1cc(OC)ccc1O,88.0
618,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1ccc(C)o1,46.0
624,CCCN(CCCNc1ccnc2cc(Cl)ccc12)Cc1cccc2c1OCO2,96.0
625,CCCN(CCCNc1ccnc2cc(Cl)ccc12)CC1CC2C=CC1C2,26.0
